cardNumber,timestamp,amount
3589249568754350,2025-01-20T21:06:45.771911,-503.57
3171948530096903,2025-03-01T13:30:25.771911,619.51
4932629994846233,2024-10-26T11:48:40.771911,-432.01
3339801217806434,2024-06-28T18:34:22.771911,-335.76
5216484446506263,2024-05-04T13:45:56.771911,402.29
3745155717279673,2024-05-24T00:57:40.771911,893.4
3339801217806434,2024-12-13T05:25:54.771911,-836.76
4932629994846233,2024-07-12T22:49:58.771911,479.88
4234709814496996,2024-07-17T14:21:19.771911,866.54
6218748060041639,2024-11-22T05:31:25.771911,999.93
3339801217806434,2024-07-15T08:04:06.771911,269.83
3037393026661280,2025-01-16T20:04:50.771911,902.64
3690769043359511,2024-06-19T22:35:40.771911,246.84
5995696966070264,2025-02-12T16:55:34.771911,-154.61
5705851002586967,2024-09-12T18:41:48.771911,779.82
5705851002586967,2024-12-27T11:51:04.771911,106.17
3742992852195954,2024-09-20T08:05:53.771911,776.41
4378233413863490,2024-12-11T07:47:07.771911,-458.8
6564109388484184,2024-06-26T22:59:53.771911,-634.86
3663297678172224,2024-09-24T19:22:30.771911,-123.77
6657327299602346,2024-11-27T09:35:50.771911,182.35
4024012623842318,2025-03-30T17:34:43.771911,279.36
3037393026661280,2024-07-06T23:17:32.771911,-667.11
3089689896090797,2024-05-01T03:54:55.771911,-233.33
6734576552114648,2025-04-08T15:09:16.771911,354.73
3618845513520900,2025-02-26T19:43:22.771911,740.75
3369832681865051,2024-09-06T11:06:26.771911,-991.02
4932629994846233,2025-04-15T11:55:02.771911,66.75
4024012623842318,2025-03-08T01:54:41.771911,531.95
4024a12623842318,2025-03-08T01:54:41.771911,532.95
5997179980717501,2024-12-03T12:15:00.771911,-582.07
5092446914149764,2024-07-07T17:35:20.771911,-839.62
5618401722389028,2024-10-07T14:37:25.771911,84.0
5618401722389028,2024-10-26T00:27:04.771911,-307.19
6734576552114648,2024-06-13T15:20:56.771911,741.25
3339801217806434,2025-01-08T14:59:14.771911,-647.88
6419514998974763,2024-08-07T18:33:52.771911,177.03
5092446914149764,2024-12-10T05:54:23.771911,-46.46
5816050191711854,2024-07-29T19:45:23.771911,663.47
5091360375658474,2024-09-16T14:49:08.771911,365.68
6437219155436606,2025-04-13T18:02:11.771911,-732.7
3404349486560448,2025-03-01T04:09:58.771911,-147.47
